No,施設区分,配置施設名,所管課,所在地,lat,lng,電話番号,AED利用可能時間,時間外利用方法,,施設数,配置台数,施設内の設置場所,,,,,,,
1,市庁舎・区役所等,井川支所,井川支所,葵区井川６５６－２,35.221614,138.241234,,月～金（祝日を除く）　　8：30～17：15,時間外利用不可,,1,1,井川支所玄関正面,,,,,,,
2,,静岡庁舎,静岡市の所有ではありません。,葵区追手町５番１号,34.975401,138.383268,-,新館　7:30～18:00　月～金（祝日除く）,警備員室・守衛室へ声をお掛けください。,,1,1,新館地下１階売店前自動販売機,,,,,,,
3,,,管財課,葵区追手町５番１号,34.975401,138.383268,254-2111,新館・本館　7:30～18:00　月～金（祝日除く）ギャラリー(本館)の開館日　10:00～18:00（休日等）,警備員室・守衛室へ声をお掛けください。,,,4,①新館１階エスカレーター登口横,,,,,,,
4,,,,,34.975401,138.383268,,新館・本館　7:30～18:00　月～金（祝日除く）ギャラリー(本館)の開館日　10:00～18:00（休日等）,警備員室・守衛室へ声をお掛けください。,,,,②新館２階エスカレーター横通路（３階階段登口横）,,,,,,,
5,,,,,34.975401,138.383268,,新館・本館　7:30～18:00　月～金（祝日除く）ギャラリー(本館)の開館日　10:00～18:00（休日等）,警備員室・守衛室へ声をお掛けください。,,,,③新館３階本館連絡通路入口前（技術政策課前）,,,,,,,
6,,,,,34.975401,138.383268,,新館・本館　7:30～18:00　月～金（祝日除く）ギャラリー(本館)の開館日　10:00～18:00（休日等）,警備員室・守衛室へ声をお掛けください。,,,,④本館１階正面市民ギャラリー入口横,,,,,,,
7,,,議会総務課,葵区追手町５番１号,34.975401,138.383268,221-1158,本館　8:30～17：15　月～金（祝日除く）,警備員室・守衛室へ声をお掛けください。,,,1,議会図書室横,,,,,,,
8,,観光交流文化局シティプロモーション課,シティプロモーション課,葵区追手町５番１号,34.975401,138.383268,221-1228,貸出受付は8:30～17:15　月～金(祝日除く)使用日直近営業日に貸出、使用後直近営業日に返却（要予約）,時間外利用不可,,-,2,シティプロモーション課にて貸出受付,,,,,,,
9,,葵区役所地域総務課（イベント貸出用）,観光・シティプロモーション課,葵区追手町５－１,34.975401,138.383268,221-1343,使用日前日から翌日,警備員室・守衛室へ声をお掛けください。,,-,2,,,,,,,,
10,消防庁舎,消防庁舎（追手町消防署）,消防総務課,葵区追手町６番２号,34.976062,138.381715,255-9710,24時間,事務室へ声をお掛けください。,,1,1,１階玄関ホール,,,,,,,
11,スポーツ施設等,梅ケ島キャンプ場,スポーツ振興課,葵区梅ケ島３１９８番地地先,35.257504,138.325582,269-2459,施設使用時のみ（年末年始除く）,時間外利用不可,,1,1,管理棟窓口,,,,,,,
12,,城北運動場,スポーツ振興課,葵区大岩町１番２０号,34.991877,138.378535,248-9416,9:00～21:00（年末年始除く）,時間外利用不可,,1,1,談話室内,,,,,,,
